Date,Total_External_Booking
08/01/2019,0
15/01/2019,0
22/01/2019,0
29/01/2019,0
05/02/2019,0
12/02/2019,0
19/02/2019,0
26/02/2019,0
05/03/2019,0
12/03/2019,0
19/03/2019,0
26/03/2019,0
02/04/2019,0
09/04/2019,0
16/04/2019,0
23/04/2019,0
30/04/2019,0
07/05/2019,0
14/05/2019,0
21/05/2019,0
28/05/2019,0
04/06/2019,0
11/06/2019,0
18/06/2019,0
25/06/2019,0
02/07/2019,0
09/07/2019,0
16/07/2019,0
23/07/2019,0
30/07/2019,0
06/08/2019,0
13/08/2019,0
20/08/2019,0
27/08/2019,0
03/09/2019,0
10/09/2019,2
17/09/2019,0
24/09/2019,2
01/10/2019,0
08/10/2019,0
15/10/2019,0
22/10/2019,0
29/10/2019,0
05/11/2019,0
12/11/2019,0
19/11/2019,0
26/11/2019,0
03/12/2019,0
10/12/2019,0
17/12/2019,0
24/12/2019,0
31/12/2019,0
07/01/2020,0
14/01/2020,0
21/01/2020,0
28/01/2020,0
04/02/2020,2
11/02/2020,1
18/02/2020,0
25/02/2020,0
03/03/2020,0
10/03/2020,0
17/03/2020,0
24/03/2020,0
31/03/2020,0
07/04/2020,0
14/04/2020,0
21/04/2020,0
28/04/2020,0
05/05/2020,0
12/05/2020,0
19/05/2020,0
26/05/2020,0
02/06/2020,0
09/06/2020,0
16/06/2020,0
23/06/2020,0
30/06/2020,0
07/07/2020,0
14/07/2020,0
21/07/2020,0
28/07/2020,0
04/08/2020,0
11/08/2020,0
18/08/2020,0
25/08/2020,0
01/09/2020,2.8
08/09/2020,0
15/09/2020,0
22/09/2020,0
29/09/2020,0
06/10/2020,0
13/10/2020,0
20/10/2020,0
27/10/2020,0
03/11/2020,3
10/11/2020,0
17/11/2020,0
24/11/2020,0
01/12/2020,0
08/12/2020,0
15/12/2020,0
22/12/2020,0
29/12/2020,0
05/01/2021,0
12/01/2021,0
19/01/2021,0
26/01/2021,0
02/02/2021,3
09/02/2021,2
16/02/2021,1
23/02/2021,2
02/03/2021,4
09/03/2021,0
16/03/2021,0
23/03/2021,1
30/03/2021,3
06/04/2021,10
13/04/2021,3
20/04/2021,8
27/04/2021,12
04/05/2021,8
11/05/2021,5
18/05/2021,6
25/05/2021,7
01/06/2021,20
08/06/2021,4
15/06/2021,8
22/06/2021,6
29/06/2021,16
06/07/2021,4
13/07/2021,3
20/07/2021,2
27/07/2021,3
03/08/2021,10
10/08/2021,4
17/08/2021,3
24/08/2021,5
31/08/2021,6
07/09/2021,5
14/09/2021,4
21/09/2021,4
28/09/2021,3
05/10/2021,9
12/10/2021,0
19/10/2021,2
26/10/2021,5
02/11/2021,10
09/11/2021,2
16/11/2021,3
23/11/2021,3
30/11/2021,9
07/12/2021,6
14/12/2021,3
21/12/2021,0
28/12/2021,0
04/01/2022,0
11/01/2022,0
18/01/2022,0
25/01/2022,0
01/02/2022,0
08/02/2022,0
15/02/2022,0
22/02/2022,0
01/03/2022,0
08/03/2022,0
15/03/2022,0
22/03/2022,0
29/03/2022,0
05/04/2022,0
12/04/2022,0
19/04/2022,0
26/04/2022,0
03/05/2022,0
10/05/2022,0
17/05/2022,0
24/05/2022,0
31/05/2022,0
07/06/2022,0
14/06/2022,0
21/06/2022,0
28/06/2022,0
05/07/2022,0
12/07/2022,0
19/07/2022,0
26/07/2022,0
02/08/2022,0
09/08/2022,0
16/08/2022,0
23/08/2022,0
30/08/2022,0
06/09/2022,0
13/09/2022,0
20/09/2022,0
27/09/2022,0
04/10/2022,0
11/10/2022,0
18/10/2022,0
25/10/2022,0
01/11/2022,0
08/11/2022,0
15/11/2022,0
22/11/2022,0
29/11/2022,0
06/12/2022,0
13/12/2022,0
20/12/2022,0
27/12/2022,0
03/01/2023,0
10/01/2023,0
17/01/2023,0
24/01/2023,0
31/01/2023,0
07/02/2023,0
14/02/2023,0
21/02/2023,0
28/02/2023,0
07/03/2023,0
14/03/2023,0
21/03/2023,0
28/03/2023,0
04/04/2023,0
11/04/2023,0
18/04/2023,0
25/04/2023,0
02/05/2023,0
09/05/2023,0
16/05/2023,0
23/05/2023,0
30/05/2023,0
06/06/2023,0
13/06/2023,0
20/06/2023,0
27/06/2023,0
